data,d2,ec,notes
PHEAMINOTRANS-RXN,PHEAMINOTRANS,2.6.1.1,
PHOSICITDEHASE,PHOSICITDEHASE,2.7.11.5,
PHOSICITDEHASE-RXN,PHOSICITDEHASE,2.7.11.5,
PLASTOQUINOL--PLASTOCYANIN-REDUCTASE,PLASTOQUINOL--PLASTOCYANIN-REDUCTASE,7.1.1.6,
PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN,PLASTOQUINOL--PLASTOCYANIN-REDUCTASE,7.1.1.6,
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE,POLYNUCLEOTIDE-ADENYLYLTRANSFERASE,2.7.7.19,
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN,POLYNUCLEOTIDE-ADENYLYLTRANSFERASE,2.7.7.19,
PRODISULFREDUCT,PRODISULFREDUCT,1.8.4.2,
PRODISULFREDUCT-RXN,PRODISULFREDUCT,1.8.4.2,
PSII,PSII,1.10.3.9,
PSII-RXN,PSII,1.10.3.9,
R344-RXN,R344,2.5.1.17,
R524,R524,4.2.1.104,subrxn of 4.2.1.104
R524-RXN,R524,4.2.1.104,
RIBAZOLEPHOSPHAT,RIBAZOLEPHOSPHAT,3.1.3.73,
RIBAZOLEPHOSPHAT-RXN,RIBAZOLEPHOSPHAT,3.1.3.73,
RIBONUCLEOSIDE-DIP-REDUCTI-RXN,RIBONUCLEOSIDE-DIP-REDUCTI,1.17.4.1,
RNA-3-PHOSPHATE-CYCLASE,RNA-3-PHOSPHATE-CYCLASE,6.5.1.4,
RNA-3-PHOSPHATE-CYCLASE-RXN,RNA-3-PHOSPHATE-CYCLASE,6.5.1.4,
RNA-DIRECTED-DNA-POLYMERASE,RNA-DIRECTED-DNA-POLYMERASE,2.7.7.49,
RNA-DIRECTED-DNA-POLYMERASE-RXN,RNA-DIRECTED-DNA-POLYMERASE,2.7.7.49,
RXN0-17,RXN0-17,2.7.1.192,
RXN0-1922,RXN0-1922,NA,
RXN0-2461,RXN0-2461,2.7.1.194,
RXN0-2522,RXN0-2522,2.7.1.195,
RXN0-2584: NO_NAME,RXN0-2584,3.2.2.27,
RXN0-2584,RXN0-2584,3.2.2.27,
RXN0-2601: NO_NAME,RXN0-2601,3.1.11.5,
RXN0-2601,RXN0-2601,3.1.11.5,
RXN0-2605: NO_NAME,RXN0-2605,3.1.11.5,
RXN0-2605,RXN0-2605,3.1.11.5,
RXN0-3,RXN0-3,7.4.2.1,
RXN0-308,RXN0-308,NA,
RXN0-3364: NO_NAME,RXN0-3364,3.4.23.51,
RXN0-3364,RXN0-3364,3.4.23.51,
RXN0-3501,RXN0-3501,1.7.5.1,
RXN0-4082,RXN0-4082,NA,
RXN0-5063: NO_NAME,RXN0-5063,2.8.4.3,
RXN0-5063,RXN0-5063,2.8.4.3,
RXN0-5189: NO_NAME,RXN0-5189,3.2.2.20,
RXN0-5189,RXN0-5189,3.2.2.20,
RXN0-5198,RXN0-5198,NA,
RXN0-5204: NO_NAME,RXN0-5204,3.4.11.23,
RXN0-5204,RXN0-5204,3.4.11.23,
RXN0-5205: NO_NAME,RXN0-5205,7.2.2.12,
RXN0-5205,RXN0-5205,7.2.2.12,
RXN0-5256,RXN0-5256,1.12.5.1,
RXN0-5264,RXN0-5264,NA,
RXN0-5268: NO_NAME,RXN0-5268,7.1.1.3,
RXN0-5268,RXN0-5268,7.1.1.3,
RXN0-5468,RXN0-5468,NA,
RXN0-5514,RXN0-5514,2.3.1.51,
RXN0-6359: NO_NAME,RXN0-6359,2.8.1.1,
RXN0-6359,RXN0-6359,2.8.1.1,
RXN0-6366: NO_NAME,RXN0-6366,2.8.4.4,
RXN0-6366,RXN0-6366,2.8.4.4,
RXN0-6369,RXN0-6369,1.7.5.1,
RXN0-6491,RXN0-6491,1.3.5.2,
RXN0-6513,RXN0-6513,NA,
RXN0-6521,RXN0-6521,3.1.26.12,
RXN0-6522,RXN0-6522,3.1.26.12,
RXN0-6523,RXN0-6523,NA,
RXN0-6524,RXN0-6524,NA,
RXN0-6525,RXN0-6525,3.1.13.1,
RXN0-6526,RXN0-6526,4.6.1.21,
RXN0-6527,RXN0-6527,4.6.1.21,
RXN0-6554,RXN0-6554,1.3.5.2,
RXN0-6705,RXN0-6705,NA,
RXN0-6974,RXN0-6974,3.4.13.18,
RXN0-6975,RXN0-6975,3.4.13.18,
RXN0-6976,RXN0-6976,3.4.13.18,
RXN0-6977,RXN0-6977,NA,
RXN0-6978,RXN0-6978,3.4.13.18,
RXN0-6979,RXN0-6979,3.4.13.18,
RXN0-6980,RXN0-6980,3.4.13.18,
RXN0-6982,RXN0-6982,NA,
RXN0-6983,RXN0-6983,3.4.13.18,
RXN0-6984,RXN0-6984,3.4.13.18,
RXN0-6985,RXN0-6985,3.4.13.18,
RXN0-6987,RXN0-6987,3.4.13.18,
RXN0-6988,RXN0-6988,3.4.13.18,
RXN0-7124,RXN0-7124,1.7.5.1,
RXN-10717,RXN-10717,NA,
RXN-10994,RXN-10994,2.7.8.7,
RXN-11048: NO_NAME,RXN-11048,3.2.2.28,
RXN-11048,RXN-11048,3.2.2.28,
RXN-11051: NO_NAME,RXN-11051,4.1.99.14,
RXN-11051,RXN-11051,4.1.99.14,
RXN-11109: NO_NAME,RXN-11109,5.6.2,5.6.2.e
RXN-11109,RXN-11109,5.6.2,
RXN-11135: NO_NAME,RXN-11135,5.6.2.4,
RXN-11135,RXN-11135,5.6.2.4,
RXN-11136: NO_NAME,RXN-11136,3.4.25.2,
RXN-11136,RXN-11136,3.4.25.2,
RXN-11148: NO_NAME,RXN-11148,3.4.22.71,
RXN-11148,RXN-11148,3.4.22.71,
RXN-11236: NO_NAME,RXN-11236,1.7.5.1,
RXN-11236,RXN-11236,1.7.5.1,
RXN-11244,RXN-11244,NA,
RXN-11302,RXN-11302,NA,
RXN-11586: NO_NAME,RXN-11586,2.1.1.192,
RXN-11586,RXN-11586,2.1.1.192,
RXN-11618,RXN-11618,3.2.1.35,
RXN-11620,RXN-11620,NA,
RXN-11627,RXN-11627,NA,
RXN-11698: NO_NAME,RXN-11698,3.4.24.84,
RXN-11698,RXN-11698,3.4.24.84,
RXN-11734,RXN-11734,1.3.8.7,
RXN-12003: NO_NAME,RXN-12003,2.7.1.172,
RXN-12014: NO_NAME,RXN-12014,3.4.24.78,
RXN-12014,RXN-12014,3.4.24.78,
RXN-12344,RXN-12344,3.2.1.136,
RXN-12365,RXN-12365,1.18.1.3,
RXN-12460,RXN-12460,3.1.1.29,
RXN-12521,RXN-12521,NA,
RXN-12587: NO_NAME,RXN-12587,2.8.1.7,subrxn of 2.8.1.7
RXN-12587,RXN-12587,2.8.1.7,
RXN-12624,RXN-12624,NA,
RXN-12634: transport of N-acetyl-D-glucosamine by PTS,RXN-12634,2.7.1.193,
RXN-12634,RXN-12634,2.7.1.193,
RXN-12973,RXN-12973,3.1.2.14,
RXN-13008,RXN-13008,NA,
RXN-13011,RXN-13011,3.1.2.14,
RXN-13039: lipoate&mdash;protein ligase,RXN-13039,6.3.1.20,subrxn of 6.3.1.20
RXN-13039,RXN-13039,6.3.1.20,
RXN-13266,RXN-13266,6.2.1.20,
RXN-13267,RXN-13267,6.2.1.20,
RXN-13449,RXN-13449,1.3.8.1,
RXN-13482,RXN-13482,NA,
RXN-13685: adrenodoxin-NADP+ reductase,RXN-13685,1.18.1.6,
RXN-13685,RXN-13685,1.18.1.6,
RXN-13715,RXN-13715,NA,
RXN-13720,RXN-13720,5.3.1.9,
"RXN-13758: [pyruvate, water dikinase] kinase",RXN-13758,2.7.11.33,
RXN-13758,RXN-13758,2.7.11.33,
RXN-13759,RXN-13759,2.7.4.28,
RXN-14135,RXN-14135,NA,
RXN-14262,RXN-14262,1.3.8.7,
RXN-14349,RXN-14349,NA,
RXN-14350,RXN-14350,NA,
RXN-14455: NO_NAME,RXN-14455,7.2.2.8,
RXN-14455,RXN-14455,7.2.2.8,
RXN-1461: NO_NAME,RXN-1461,3.2.1,3.2.1.26 // 3.2.1.48
RXN-1461,RXN-1461,3.2.1,
RXN-14729,RXN-14729,2.7.1.203,
RXN-14970,RXN-14970,1.3.5.4,
RXN-14982,RXN-14982,NA,
RXN-14983,RXN-14983,NA,
RXN-1501,RXN-1501,NA,
RXN-15041: NO_NAME,RXN-15041,3.1.1.96,
RXN-15041,RXN-15041,3.1.1.96,
RXN-15047: NO_NAME,RXN-15047,3.1.12.1,
RXN-15047,RXN-15047,3.1.12.1,
RXN-15083,RXN-15083,2.7.1.199,
RXN-15084,RXN-15084,2.7.1.202,
RXN-15085,RXN-15085,2.7.1.207,
RXN-15086,RXN-15086,2.7.1.205,
RXN-15087,RXN-15087,2.7.1.191,
RXN-15092,RXN-15092,2.7.1.208,
RXN-15093,RXN-15093,2.7.1.204,
RXN-15094,RXN-15094,2.7.1.206,
RXN-15095,RXN-15095,2.7.1.69,
RXN-15096,RXN-15096,2.7.1.196,
RXN-15143,RXN-15143,2.7.1.199,
RXN-15144,RXN-15144,2.7.1.199,
RXN-15145,RXN-15145,2.7.1.199,
RXN-15150,RXN-15150,2.7.1.202,
RXN-15151,RXN-15151,2.7.1.202,
RXN-15152,RXN-15152,2.7.1.202,
RXN-15154,RXN-15154,2.7.1.202,
RXN-15155,RXN-15155,2.7.1.202,
RXN-15156,RXN-15156,2.7.1.202,
RXN-15157,RXN-15157,2.7.1.202,
RXN-15158,RXN-15158,2.7.1.207,
RXN-15159,RXN-15159,2.7.1.206,
RXN-15160,RXN-15160,2.7.1.205,
RXN-15161,RXN-15161,2.7.1.205,
RXN-15162,RXN-15162,NA,
RXN-15163,RXN-15163,NA,
RXN-15164,RXN-15164,2.7.1.205,
RXN-15165,RXN-15165,2.7.1.191,
RXN-15166,RXN-15166,2.7.1.208,
RXN-15167,RXN-15167,2.7.1.208,
RXN-15168,RXN-15168,2.7.1.204,
RXN-15169,RXN-15169,2.7.1.204,
RXN-15170,RXN-15170,2.7.1.204,
RXN-15171,RXN-15171,2.7.1.204,
RXN-15172,RXN-15172,2.7.1.206,
RXN-15173,RXN-15173,2.7.1.206,
RXN-15174,RXN-15174,2.7.1.206,
RXN-15175,RXN-15175,2.7.1.206,
RXN-15176,RXN-15176,2.7.1.206,
RXN-15177,RXN-15177,2.7.1.206,
RXN-15178,RXN-15178,2.7.1.206,
RXN-15180,RXN-15180,2.7.1.206,
RXN-15181,RXN-15181,2.7.1.206,
RXN-15182,RXN-15182,2.7.1.206,
RXN-15184,RXN-15184,2.7.1.206,
RXN-15185,RXN-15185,2.7.1.206,
RXN-15275,RXN-15275,3.4.17.14,
RXN-15313,RXN-15313,NA,
RXN-15334,RXN-15334,NA,
RXN-15378,RXN-15378,1.3.5.1,
RXN-15822,RXN-15822,NA,
RXN-15823,RXN-15823,NA,
RXN-16025,RXN-16025,2.3.1.51,
RXN-16066,RXN-16066,2.3.1.51,
RXN-16076,RXN-16076,2.3.1.51,
RXN-16077,RXN-16077,2.3.1.51,
RXN-16133: NO_NAME,RXN-16133,1.1.1.35,
RXN-16133,RXN-16133,1.1.1.35,
RXN-16456,RXN-16456,NA,
RXN-16471: NO_NAME,RXN-16471,1.7.5.1,
RXN-16471,RXN-16471,1.7.5.1,
RXN-16759,RXN-16759,2.7.8.7,
RXN1G-157,RXN1G-157,1.1.1.100,
RXN1G-488,RXN1G-488,NA,
RXN-2141,RXN-2141,NA,
RXN-6182,RXN-6182,5.3.1.9,
RXN-6423,RXN-6423,NA,
RXN66-532,RXN66-532,NA,
RXN66-542,RXN66-542,NA,
RXN66-550,RXN66-550,1.5.5.1,
RXN-7614,RXN-7614,6.2.1.26,
RXN-7838,RXN-7838,NA,
RXN-7967: NO_NAME,RXN-7967,NA,no clear EC
RXN-7967,RXN-7967,NA,
RXN-7968,RXN-7968,NA,
RXN-8654,RXN-8654,NA,
RXN-8655,RXN-8655,NA,
RXN-8658: NO_NAME,RXN-8658,NA,no clear EC
RXN-8658,RXN-8658,NA,
RXN-8659,RXN-8659,NA,
RXN-8668: NO_NAME,RXN-8668,1.8.4.11,
RXN-8668,RXN-8668,1.8.4.11,
RXN-8759,RXN-8759,NA,
RXN-9654,RXN-9654,2.3.1.41,
RXN-9777: NO_NAME,RXN-9777,7.2.4.1,
RXN-9777,RXN-9777,7.2.4.1,
SIALATE-O-ACETYLESTERASE-RXN,SIALATE-O-ACETYLESTERASE,3.1.1.53,
SUCROSEPHOSPHO-RXN,SUCROSEPHOSPHO,2.7.1.211,
TDCEACT,TDCEACT,1.97.1.4,
TDCEACT-RXN,TDCEACT,1.97.1.4,
TMAOREDUCT,TMAOREDUCT,1.6.6.9,
TMAOREDUCT-RXN,TMAOREDUCT,1.6.6.9,
TRANS,TRANS,7.1.1.1,TRANS-RXN0-277
TRANS-RXN0-162,TRANS-RXN0-162,7.6.2.5,
TRANS-RXN0-222,TRANS-RXN0-222,7.4.2.1,
TRANS-RXN0-277,TRANS-RXN0-277,7.1.1.1,
TRANS-RXN0-540,TRANS-RXN0-540,2.7.1.199,
TRANS-RXN0-593,TRANS-RXN0-593,7.4.2.12,
TRANS-RXN-153A,TRANS-RXN-153A,2.7.1.199,
TRANS-RXN-155B,TRANS-RXN-155B,2.7.1.196,
TRANS-RXN-156,TRANS-RXN-156,2.7.1.196,
TRANS-RXN-157,TRANS-RXN-157,2.7.1.196,
TRANS-RXN-161,TRANS-RXN-161,2.7.1.196,
TRANS-RXN-167A,TRANS-RXN-167A,2.7.1.196,
TRANS-RXN-168,TRANS-RXN-168,2.7.1.196,
TRANS-RXN-169,TRANS-RXN-169,2.7.1.196,
TRANS-RXN-2,TRANS-RXN-2,7.2.2.6,
TRANS-RXN-250,TRANS-RXN-250,7.2.2.14,
TRANS-RXN-265,TRANS-RXN-265,NA,
TRNA-CYTIDYLYLTRANSFERASE,TRNA-CYTIDYLYLTRANSFERASE,2.7.7.72,
TRNA-CYTIDYLYLTRANSFERASE-RXN,TRNA-CYTIDYLYLTRANSFERASE,2.7.7.72,
TRNA-NUCLEOTIDYLTRANSFERASE-RXN,TRNA-NUCLEOTIDYLTRANSFERASE,2.7.7.56,
TRNA-S-TRANSFERASE,TRNA-S-TRANSFERASE,2.8.1,2.8.1.M2
TRNA-S-TRANSFERASE-RXN,TRNA-S-TRANSFERASE,2.8.1,
URITRANS,URITRANS,2.7.7.59,
URITRANS-RXN,URITRANS,2.7.7.59,
